,crime,number,date,location,beat,neighborhood,npu,lat,long
216,LARCENY-FROM VEHICLE,103021027,10/29/2010,727 WYLIE ST SE,606,Cabbagetown,N,33.75204,-84.36355
217,AGG ASSAULT,103021033,10/29/2010,1925 NISKEY LAKE RD SW @BUNCHE MIDDLE,412,,P,33.70106,-84.53062
218,LARCENY-FROM VEHICLE,103021037,10/29/2010,13TH / CRESENT AVE,503,Midtown,E,33.78562,-84.38422
219,LARCENY-NON VEHICLE,103021066,10/29/2010,1306 PARK,305,Chosewood Park,Y,33.71902,-84.37026
220,LARCENY-FROM VEHICLE,103021067,10/29/2010,831 MARTIN ST SE,304,Summerhill,V,33.73196,-84.38458
221,LARCENY-FROM VEHICLE,103021142,10/29/2010,265 PONCE DE LEON AVE NE ;CAMDEN MIDTOWN,505,Midtown,E,33.77248,-84.37879
222,BURGLARY-RESIDENCE,103021157,10/29/2010,3443 VILLAGE PARK LN SW,414,Ben Hill,P,33.66161,-84.52564
223,LARCENY-FROM VEHICLE,103021190,10/29/2010,2037 LENOX RD NE,213,Lindridge/Martin Manor,F,33.81036,-84.35113
224,AUTO THEFT,103021204,10/29/2010,364 NORTHSIDE DR NW,103,English Avenue,L,33.7647,-84.40392
225,LARCENY-NON VEHICLE,103021229,10/29/2010,3129 PIEDMONT RD NE,211,Peachtree Park,B,33.84234,-84.37014
226,AUTO THEFT,103021256,10/29/2010,I-75-85 NB EXPY SW / UNIVERSITY AVE SW,302,Pittsburgh,V,33.72212,-84.3946
227,AUTO THEFT,103021257,10/29/2010,4496 CAMPBELLTON RD,413,,P,33.69597,-84.53536
228,LARCENY-NON VEHICLE,103021265,10/29/2010,99 ORMOND ST SE,304,Peoplestown,V,33.73146,-84.38474
229,LARCENY-NON VEHICLE,103021272,10/29/2010,1717 CENTRA VILLA DR SW,409,Adams Park,R,33.70854,-84.45679
230,LARCENY-NON VEHICLE,103021275,10/29/2010,3200 LENOX RD NE,210,Pine Hills,B,33.84221,-84.35822
231,BURGLARY-RESIDENCE,103021281,10/29/2010,503 COLLIER RIDGE DR ,112,Collier Heights,I,33.76887,-84.4763
232,LARCENY-FROM VEHICLE,103021289,10/29/2010,MARTIN L KING JR DR SW / CENTRAL AVE SW,511,Downtown,M,33.75079,-84.38987
233,BURGLARY-RESIDENCE,103021299,10/29/2010,3041 LANDRUM ,409,Southwest,R,33.70649,-84.48782
234,BURGLARY-RESIDENCE,103021307,10/29/2010,443 OAK DR SE,312,Orchard Knob,Z,33.66712,-84.37905
235,LARCENY-FROM VEHICLE,103021335,10/29/2010,DONALD LEE HOLLOWELL PKWY NW / JAMES JACKSON PKWY NW,113,Center Hill,J,33.77632,-84.47375
236,BURGLARY-RESIDENCE,103021341,10/29/2010,2233 MACON DR SW,310,Browns Mill Park,Z,33.69367,-84.39132
237,BURGLARY-RESIDENCE,103021347,10/29/2010,340 BROMACK DR SE,310,Lakewood,Z,33.68812,-84.37775
238,RAPE,103021371,10/29/2010,929 CHARLES ALLEN DR NE @GRADY HIGH,506,Midtown,E,33.78119,-84.37151
239,BURGLARY-RESIDENCE,103021375,10/29/2010,1926 HARBIN RD SW,409,Southwest,R,33.70327,-84.47989
240,LARCENY-FROM VEHICLE,103021376,10/29/2010,1530 ELLSWORTH INDUSTRIAL BLVD NW,203,Blandtown,D,33.79686,-84.42789
241,BURGLARY-RESIDENCE,103021411,10/29/2010,20 WALTHALL ST NE,606,Reynoldstown,N,33.75427,-84.35196
242,LARCENY-NON VEHICLE,103021419,10/29/2010,2841 GREENBRIAR PKWY SW,411,Greenbriar,R,33.68845,-84.49328
243,LARCENY-FROM VEHICLE,103021445,10/29/2010,1333 WHITE STREET,402,West End,T,33.73805,-84.43028
244,LARCENY-NON VEHICLE,103021455,10/29/2010,2415 CAMELLIA LN NE,211,Lindbergh/Morosgo,B,33.82171,-84.37117
245,LARCENY-NON VEHICLE,103021457,10/29/2010,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
246,LARCENY-FROM VEHICLE,103021478,10/29/2010,973 DELAWARE AVE SE,607,Ormewood Park,W,33.73094,-84.35572
247,BURGLARY-RESIDENCE,103021503,10/29/2010,27 KIRKWOOD RD NE,610,Kirkwood,O,33.75218,-84.32144
248,LARCENY-NON VEHICLE,103021526,10/29/2010,2155 MEADOR AVE SE,310,Swallow Circle/Baywood,Z,33.69536,-84.38075
249,BURGLARY-RESIDENCE,103021527,10/29/2010,425 CHAPPELL RD NW,106,Bankhead,K,33.76722,-84.43255
250,LARCENY-FROM VEHICLE,103021542,10/29/2010,381 VENABLE ST NW,504,Downtown,M,33.76519,-84.39502
251,LARCENY-NON VEHICLE,103021545,10/29/2010,55 MCDONOUGH BLVD SE,305,South Atlanta,Y,33.72024,-84.38654
252,LARCENY-FROM VEHICLE,103021556,10/29/2010,214 JOHN WESLEY DOBBS AVE NE,510,Downtown,M,33.75741,-84.38075
253,LARCENY-FROM VEHICLE,103021573,10/29/2010,MARTIN L KING JR DR SW / FORSYTH ST SW,511,Downtown,M,33.75286,-84.3935
254,LARCENY-FROM VEHICLE,103021591,10/29/2010,440 ARGONNE DR NW,205,Wyngate,C,33.83519,-84.40173
255,LARCENY-NON VEHICLE,103021612,10/29/2010,141 PRYOR ST SW,512,Downtown,M,33.75093,-84.39146
256,BURGLARY-RESIDENCE,103021623,10/29/2010,2617 IVYDALE DR SW,410,Campbellton Road,R,33.69987,-84.47412
257,LARCENY-FROM VEHICLE,103021651,10/29/2010,1910 VENETIAN DR SW,408,Venetian Hills,S,33.71439,-84.45057
258,LARCENY-FROM VEHICLE,103021677,10/29/2010,497 LYNN VALLEY RD SW,406,,I,33.73719,-84.48202
259,BURGLARY-RESIDENCE,103021741,10/29/2010,917 OAKHILL AVE SW,301,Adair Park,V,33.72988,-84.40947
260,LARCENY-FROM VEHICLE,103021756,10/29/2010,2975 HEADLAND DR SW,411,Greenbriar,R,33.69168,-84.4872
261,LARCENY-NON VEHICLE,103021774,10/29/2010,PEYTON WOODS TRL SW / PEYTON RD SW,406,Peyton Forest,I,33.74291,-84.47917
262,BURGLARY-RESIDENCE,103021794,10/29/2010,1643 WESTHAVEN DR SW,404,Cascade Avenue/Road,S,33.73281,-84.44158
263,LARCENY-FROM VEHICLE,103021812,10/29/2010,2325 MELANTE DR NE,212,Lindridge/Martin Manor,F,33.81852,-84.35313
264,LARCENY-NON VEHICLE,103021832,10/29/2010,12 BROAD ST SW ;CVS,511,Downtown,M,33.7532,-84.39201
265,ROBBERY-PEDESTRIAN,103021861,10/29/2010,BROAD ST SW / MARTIN L KING JR DR SW,512,Downtown,M,33.75243,-84.3928
266,LARCENY-FROM VEHICLE,103021870,10/29/2010,1447 PIEDMONT AVE NE,502,Midtown,E,33.79396,-84.37186
267,ROBBERY-PEDESTRIAN,103021886,10/29/2010,391 17TH ST NW,501,Atlantic Station,E,33.79109,-84.40088
268,ROBBERY-COMMERCIAL,103021891,10/29/2010,464 MORELAND AVE NE,602,Inman Park,N,33.76686,-84.34915
269,AUTO THEFT,103021918,10/29/2010,JONESBORO RD SE / I-285 EB EXPY SE,313,South River Gardens,Z,33.65199,-84.36701
270,LARCENY-FROM VEHICLE,103021969,10/29/2010,1660 PEACHTREE ST NW,502,Midtown,E,33.79874,-84.39164
271,LARCENY-NON VEHICLE,103021988,10/29/2010,1991 DELOWE DR SW,410,Campbellton Road,R,33.70002,-84.45895
272,LARCENY-NON VEHICLE,103022029,10/29/2010,1097 HOLLYWOOD RD,110,Almond Park,G,33.78526,-84.46082
273,LARCENY-NON VEHICLE,103022058,10/29/2010,2859 PIEDMONT,211,Peachtree Park,B,33.83294,-84.3677
274,BURGLARY-RESIDENCE,103022071,10/29/2010,225 WOODWARD AVE SE,605,Grant Park,W,33.74542,-84.38026
275,LARCENY-NON VEHICLE,103022075,10/29/2010,850 OAK ST,401,West End,T,33.74057,-84.4168
276,AUTO THEFT,103022078,10/29/2010,101 HAMILTON E HOLMES DR NW,108,Westhaven,I,33.75558,-84.46807
277,LARCENY-NON VEHICLE,103022127,10/29/2010,737 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77348,-84.36289
278,LARCENY-FROM VEHICLE,103022137,10/29/2010,2222 DORAL CT SW,413,Fairway Acres,P,33.68764,-84.53745
279,LARCENY-NON VEHICLE,103022176,10/29/2010,149 26TH ST NW,207,Brookwood,E,33.80253,-84.39776
280,LARCENY-FROM VEHICLE,103022194,10/29/2010,650 HILLPINE DR NE,213,Morningside/Lenox Park,F,33.793,-84.36558
281,LARCENY-NON VEHICLE,103022218,10/29/2010,1225 CAROLINE ST NE,609,Edgewood,O,33.75605,-84.34813
282,AUTO THEFT,103022249,10/29/2010,2931 MIDDLETON RD NW,111,,I,33.75294,-84.48775
283,AUTO THEFT,103022264,10/29/2010,2685 METROPOLITAN PKWY SW,309,Perkerson,X,33.68274,-84.40902
284,AUTO THEFT,103022318,10/29/2010,TIGER FLOWERS DR NW / WHITAKER CIR NW,108,West Lake,J,33.75977,-84.44524
285,LARCENY-FROM VEHICLE,103022343,10/29/2010,3021 HOGAN RD SW,411,Greenbriar,R,33.67815,-84.48703
286,ROBBERY-PEDESTRIAN,103022389,10/29/2010,50 UPPER ALABAMA,511,Downtown,M,33.75194,-84.38964
287,LARCENY-NON VEHICLE,103022422,10/29/2010,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212
288,LARCENY-FROM VEHICLE,103022426,10/29/2010,102 BROAD ST SW,512,Downtown,M,33.75178,-84.39318
289,AGG ASSAULT,103022445,10/29/2010,1009 WASHINGTON ST SW,304,Peoplestown,V,33.72723,-84.39109
290,AGG ASSAULT,103022457,10/29/2010,585 MCWILLIAMS RD SE,310,Browns Mill Park,Z,33.68869,-84.36881
291,ROBBERY-PEDESTRIAN,103022498,10/29/2010,2132 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70659,-84.45411
292,ROBBERY-PEDESTRIAN,103022521,10/29/2010,1941 MYRTLE DR,410,Campbellton Road,R,33.70101,-84.45527
293,LARCENY-NON VEHICLE,103022614,10/29/2010,2020 BOLTON RD NW,203,Riverside,D,33.81125,-84.47594
294,LARCENY-FROM VEHICLE,103022665,10/29/2010,1000 MARIETTA ST NW,504,Marietta Street Artery,E,33.77907,-84.4105
295,LARCENY-FROM VEHICLE,103022702,10/29/2010,45 WHITEHOUSE DR SW,104,Ashview Heights,T,33.75382,-84.42109
296,LARCENY-NON VEHICLE,103022740,10/29/2010,2176 COUNTY LINE RD SW,413,Elmco Estates,P,33.69526,-84.53435
297,LARCENY-FROM VEHICLE,103022743,10/29/2010,BISHOP ST NW / 17TH ST NW,207,Loring Heights,E,33.79177,-84.40609
298,AGG ASSAULT,102970294,10/29/2010,255 TRINITY AVE,512,Downtown,M,33.75082,-84.39623
299,BURGLARY-RESIDENCE,103010902,10/28/2010,432 IRA ST SW,303,Mechanicsville,V,33.74277,-84.39973
300,BURGLARY-RESIDENCE,103010907,10/28/2010,1355 CAMPBELLTON RD SW,403,Venetian Hills,S,33.71551,-84.43244
301,BURGLARY-RESIDENCE,103010920,10/28/2010,2798 PEEK RD NW,112,Collier Heights,I,33.77743,-84.47815
302,LARCENY-FROM VEHICLE,103010943,10/28/2010,2450 CAMELLIA LN NE,211,Lindbergh/Morosgo,B,33.82269,-84.37114
303,LARCENY-FROM VEHICLE,103010944,10/28/2010,240 N HIGHLAND AVE NE,602,Inman Park,N,33.76234,-84.35933
304,BURGLARY-RESIDENCE,103010953,10/28/2010,166 SUWANEE AVENUE NW ,108,Dixie Hills,J,33.75884,-84.46533
305,LARCENY-NON VEHICLE,103010964,10/28/2010,824 DONALD LEE HOLLOWELL PKWY NW,103,English Avenue,L,33.77282,-84.41423
306,BURGLARY-RESIDENCE,103010984,10/28/2010,310 6TH ST NE,506,Midtown,E,33.77628,-84.37717
307,LARCENY-NON VEHICLE,103010985,10/28/2010,3000 CONTINENTAL COLONY PKWY SW,411,Greenbriar,R,33.68077,-84.4937
308,BURGLARY-NONRES,103011004,10/28/2010,1919 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.70278,-84.41017
309,AGG ASSAULT,103011049,10/28/2010,2084 BROWNS MILL RD SE,310,Lakewood,Z,33.69762,-84.37384
310,LARCENY-NON VEHICLE,103011051,10/28/2010,445 CLEVELAND AVE SE,312,Rosedale Heights,Z,33.68013,-84.37757
311,AUTO THEFT,103011054,10/28/2010,3200 LENOX RD NE,210,Pine Hills,B,33.84221,-84.35822
312,BURGLARY-RESIDENCE,103011066,10/28/2010,1585 LINDA WAY SW,404,Westview,T,33.73464,-84.43927
313,LARCENY-NON VEHICLE,103011084,10/28/2010,190 MARIETTA ST NW,507,Downtown,M,33.75757,-84.39487
314,ROBBERY-PEDESTRIAN,103011134,10/28/2010,JOHNSON ROAD NW/ SIMS AVE NW ,110,Grove Park,J,33.78133,-84.45477
315,LARCENY-FROM VEHICLE,103011162,10/28/2010,794 DIXIE AVE NE,602,Inman Park,N,33.75677,-84.3617
316,LARCENY-FROM VEHICLE,103011169,10/28/2010,15 PEACHTREE ST SW,511,Downtown,M,33.75369,-84.39043
317,AUTO THEFT,103011170,10/28/2010,3724 MARTIN L KING JR DR SW,407,Adamsville,H,33.76464,-84.5103
318,BURGLARY-RESIDENCE,103011191,10/28/2010,1733 MELROSE DR. SW,306,Sylvan Hills,X,33.70747,-84.42086
319,ROBBERY-PEDESTRIAN,103011225,10/28/2010,942 HANK AARON DR,304,Peoplestown,V,33.72843,-84.38748
320,LARCENY-FROM VEHICLE,103011256,10/28/2010,739 WYLIE ST SE,606,Cabbagetown,N,33.75205,-84.36309
321,ROBBERY-PEDESTRIAN,103011302,10/28/2010,LATTA ST NE / PINE ST NE,603,Old Fourth Ward,M,33.76791,-84.37258
322,LARCENY-FROM VEHICLE,103011313,10/28/2010,600 PONCE DE LEON AVE NE,506,Midtown,E,33.77376,-84.36722
323,AUTO THEFT,103011321,10/28/2010,106 VANNOY ST SE,609,Edgewood,O,33.75073,-84.34623
324,LARCENY-FROM VEHICLE,103011333,10/28/2010,2540 FORREST HILL DR,311,Hammond Park,X,33.681,-84.40011
325,BURGLARY-RESIDENCE,103011362,10/28/2010,1183 MOTON AVE SW,302,Pittsburgh,V,33.72261,-84.397
326,LARCENY-FROM VEHICLE,103011380,10/28/2010,OLD WESLEY PL @ WEST WESLEY ,201,Brandon,C,33.82875,-84.42267
327,LARCENY-NON VEHICLE,103011385,10/28/2010,1787 CAHOON ST SW,306,Sylvan Hills,X,33.70677,-84.41112
328,AGG ASSAULT,103011443,10/28/2010,730 BARNETT ST,601,Virginia Highland,F,33.77443,-84.35902
329,LARCENY-NON VEHICLE,103011509,10/28/2010,464 MORELAND AVE NE,602,Inman Park,N,33.76686,-84.34915
330,LARCENY-FROM VEHICLE,103011526,10/28/2010,1560 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.71194,-84.40422
331,BURGLARY-RESIDENCE,103011529,10/28/2010,1955 DODSON DR SW,410,Campbellton Road,R,33.70146,-84.47616
332,LARCENY-NON VEHICLE,103011534,10/28/2010,600 GREENSFERRY ,101,The Villages at Castleberry H,T,33.74662,-84.40755
333,LARCENY-NON VEHICLE,103011564,10/28/2010,285 POLAR ROCK RD SW,310,Polar Rock,Z,33.6968,-84.39851
334,BURGLARY-RESIDENCE,103011589,10/28/2010,186 HOWELL DR SW,407,Adamsville,H,33.75304,-84.50328
335,LARCENY-FROM VEHICLE,103011605,10/28/2010,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.84413,-84.37409
336,LARCENY-NON VEHICLE,103011608,10/28/2010,1225 CAROLINE ST NE,609,Edgewood,O,33.75605,-84.34813
337,LARCENY-NON VEHICLE,103011626,10/28/2010,2001 MARTIN L KING JR DR NW,108,,I,33.75011,-84.45285
338,LARCENY-NON VEHICLE,103011682,10/28/2010,730 PONCE DE LEON PL NE,601,Virginia Highland,F,33.77446,-84.36424
339,LARCENY-FROM VEHICLE,103011711,10/28/2010,JOHN WESLEY DOBBS AVE NE / COURTLAND ST NE,510,Downtown,M,33.75712,-84.38424
340,LARCENY-NON VEHICLE,103011739,10/28/2010,40 HARLAN RD SW,405,Harland Terrace,I,33.75338,-84.48085
341,BURGLARY-RESIDENCE,103011742,10/28/2010,73 JOSEPH E LOWERY BLVD,104,Ashview Heights,T,33.75271,-84.41779
342,LARCENY-FROM VEHICLE,103011775,10/28/2010,COCA COLA PL SE / BELL ST SE,510,Downtown,M,33.75279,-84.37984
343,LARCENY-FROM VEHICLE,103011801,10/28/2010,1944 PIEDMONT CIR NE,212,Piedmont Heights,F,33.81165,-84.36787
344,LARCENY-FROM VEHICLE,103011819,10/28/2010,950 MARIETTA ST NW,504,Marietta Street Artery,E,33.77682,-84.40822
345,LARCENY-NON VEHICLE,103011841,10/28/2010,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212
346,BURGLARY-RESIDENCE,103011892,10/28/2010,1689 ABNER CT NW,110,Carver Hills,G,33.80205,-84.4665
347,LARCENY-FROM VEHICLE,103011904,10/28/2010,1380 ATLANTIC DR NW,501,Atlantic Station,E,33.79282,-84.39779
348,LARCENY-FROM VEHICLE,103011922,10/28/2010,15 WALL ST SE,511,Downtown,M,33.75359,-84.38986
349,LARCENY-NON VEHICLE,103011953,10/28/2010,70 W PACES FERRY RD NW,206,Peachtree Heights West,B,33.84047,-84.38267
350,LARCENY-FROM VEHICLE,103012061,10/28/2010,935 MARIETTA ST NW,504,Marietta Street Artery,E,33.7778,-84.40865
351,AGG ASSAULT,103012067,10/28/2010,808 MCDANIEL ST SW,302,Pittsburgh,V,33.73295,-84.40148
352,BURGLARY-RESIDENCE,103012074,10/28/2010,765 MCDANIEL ST SW,302,Pittsburgh,V,33.73365,-84.40221
353,LARCENY-FROM VEHICLE,103012084,10/28/2010,3550 CAMPBELLTON RD SW,413,,P,33.68984,-84.50491
354,LARCENY-NON VEHICLE,103012098,10/28/2010,590 CASCADE AVE SW,402,West End,T,33.73812,-84.43276
355,LARCENY-FROM VEHICLE,103012132,10/28/2010,625 PIEDMONT AVE NE,505,Midtown,E,33.77178,-84.38174
356,LARCENY-NON VEHICLE,103012137,10/28/2010,1225 CAROLINE ST NE,609,Edgewood,O,33.75605,-84.34813
357,BURGLARY-RESIDENCE,103012146,10/28/2010,903 NOBLE CREEK DR NW,204,Cross Creek,C,33.81437,-84.42392
358,BURGLARY-RESIDENCE,103012162,10/28/2010,1380 SHARON ST NW,105,Hunter Hills,K,33.75448,-84.43255
359,BURGLARY-RESIDENCE,103012164,10/28/2010,4326 GREENLEAF CIR SW,413,Wildwood Forest,P,33.68427,-84.54044
360,ROBBERY-PEDESTRIAN,103012199,10/28/2010,1185 COLLIER RD NW,204,,C,33.81136,-84.42537
361,LARCENY-FROM VEHICLE,103012217,10/28/2010,W PEACHTREE ST NE / 14TH ST NE,502,Midtown,E,33.78667,-84.38781
362,BURGLARY-RESIDENCE,103012236,10/28/2010,1595 KENMORE ST SW,403,Cascade Avenue/Road,S,33.72374,-84.43996
363,BURGLARY-RESIDENCE,103012248,10/28/2010,2894 BROWNS MILL RD SE,312,Orchard Knob,Z,33.6756,-84.38385
364,BURGLARY-RESIDENCE,103012255,10/28/2010,2383 CHERRY BLOSSOM DR SW,412,Meadowbrook Forest,P,33.6908,-84.50343
365,LARCENY-NON VEHICLE,103012308,10/28/2010,1800 MYRTLE DR SW,410,Campbellton Road,R,33.70608,-84.45486
366,ROBBERY-PEDESTRIAN,103012323,10/28/2010,580 FAIR ST.,101,Atlanta University Center,T,33.74887,-84.40674
367,LARCENY-FROM VEHICLE,103012325,10/28/2010,HOWELL MILL RD NW / 11TH ST NW,501,Home Park,E,33.78287,-84.41164
368,LARCENY-FROM VEHICLE,103012343,10/28/2010,1190 N HIGHLAND AVE NE,601,Virginia Highland,F,33.78709,-84.35544
369,AUTO THEFT,103012371,10/28/2010,2051 DELANO DR NE,610,Kirkwood,O,33.75522,-84.3206
370,LARCENY-NON VEHICLE,103012395,10/28/2010,990 SAINT CHARLES AVE NE,601,Virginia Highland,F,33.77562,-84.35507
371,AUTO THEFT,103012411,10/28/2010,580 CLEVELAND AVE SW AT METROPOLITAN,311,Perkerson,X,33.68128,-84.4077
372,BURGLARY-RESIDENCE,103012468,10/28/2010,3390 FAIRBURN RD SW,414,Ben Hill,P,33.66311,-84.52345
373,AUTO THEFT,103012481,10/28/2010,2328 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70439,-84.4634
374,LARCENY-FROM VEHICLE,103012490,10/28/2010,542 MORELAND AVE SE,612,East Atlanta,W,33.73931,-84.34896
375,LARCENY-FROM VEHICLE,103012493,10/28/2010,86 5TH ST NE,505,Midtown,E,33.77622,-84.38428
376,LARCENY-FROM VEHICLE,103012543,10/28/2010,60 ANDREW YOUNG INTERNA BLVD NE,509,Downtown,M,33.75991,-84.38522
377,AUTO THEFT,103012577,10/28/2010,524 GLEN IRIS DR NE,603,Old Fourth Ward,M,33.76877,-84.36796
378,BURGLARY-RESIDENCE,103012583,10/28/2010,292 THORNTON ST SW,307,Joyland,Y,33.71161,-84.39851
379,LARCENY-FROM VEHICLE,103012587,10/28/2010,875 PARSONS ST SW,101,Atlanta University Center,T,33.75101,-84.41629
380,AUTO THEFT,103012589,10/28/2010,1422 W PEACHTREE ST NW,502,Midtown,E,33.79345,-84.3882
381,LARCENY-FROM VEHICLE,103012647,10/28/2010,W PEACHTREE ST NE / SIMPSON ST NW,508,Downtown,M,33.76331,-84.38754
382,BURGLARY-RESIDENCE,103012660,10/28/2010,2172 CASCADE RD SW,409,Adams Park,R,33.72178,-84.45934
383,LARCENY-NON VEHICLE,103001206,10/28/2010,800 HUTCHENS RD. SE,313,South River Gardens,Z,33.67102,-84.36187
384,ROBBERY-PEDESTRIAN,103012728,10/28/2010,2700 GRAND AVE,311,Hammond Park,X,33.68085,-84.40042
385,LARCENY-FROM VEHICLE,103012757,10/28/2010,1110 IRA ST SW,302,Pittsburgh,V,33.72468,-84.39991
386,LARCENY-FROM VEHICLE,103010017,10/28/2010,931 MONROE DR ,506,Midtown,E,33.77973,-84.3676
387,LARCENY-FROM VEHICLE,103010052,10/28/2010,245 N HIGHLAND AVE NE,602,Inman Park,N,33.76194,-84.35948
388,LARCENY-FROM VEHICLE,103010122,10/28/2010,191 PEACHTREE ST NE,510,Downtown,M,33.75879,-84.3864
389,BURGLARY-NONRES,103010133,10/28/2010,210 FLAT SHOALS AVE SE,606,Reynoldstown,N,33.7482,-84.35118
390,BURGLARY-RESIDENCE,103010222,10/28/2010,1320 ELLSWORTH INDUSTRIAL BLVD NW,203,Blandtown,D,33.7907,-84.42691
391,AGG ASSAULT,103010258,10/28/2010,353 TAZOR ST NW,106,Bankhead,K,33.76431,-84.42075
392,LARCENY-FROM VEHICLE,103010260,10/28/2010,17 GROVE PARK PL NW,110,Grove Park,J,33.77696,-84.43816
393,BURGLARY-RESIDENCE,103010369,10/28/2010,1271 CAHABA DR SW,408,Venetian Hills,S,33.72011,-84.44867
394,BURGLARY-NONRES,103010409,10/28/2010,3670 CAMP CREEK PKWY SW,414,Princeton Lakes,P,33.655,-84.50859
395,BURGLARY-NONRES,103010461,10/28/2010,2650 LOIS LN SE,310,Browns Mill Park,Z,33.68246,-84.38735
396,BURGLARY-NONRES,103010467,10/28/2010,71 FAIRFIELD PLACE NW ,108,Dixie Hills,J,33.75461,-84.46292
397,LARCENY-FROM VEHICLE,103010468,10/28/2010,923 EDWIN ST NW,110,Grove Park,J,33.78026,-84.44582
398,AUTO THEFT,103010475,10/28/2010,187 FAIRBURN RD SW,407,Fairburn Mays,H,33.7506,-84.50773
399,LARCENY-NON VEHICLE,103010486,10/28/2010,895 RALPH D ABERNATHY BLVD SW,401,West End,T,33.7398,-84.41751
400,LARCENY-FROM VEHICLE,103010544,10/28/2010,903 CARDOVA DR NE,212,Lindridge/Martin Manor,F,33.81639,-84.35819
401,AUTO THEFT,103010624,10/28/2010,3850 WIEUCA RD NE,209,North Buckhead,B,33.8599,-84.36365
402,LARCENY-FROM VEHICLE,103010638,10/28/2010,765 MCDANIEL ST SW,302,Pittsburgh,V,33.73365,-84.40221
403,LARCENY-NON VEHICLE,103010656,10/28/2010,1961 MEADOR AVE SE,307,Lakewood Heights,Y,33.70063,-84.38056
404,LARCENY-FROM VEHICLE,103010678,10/28/2010,1614 PONTIAC PL SE,607,Custer/McDonough/Guice,W,33.71055,-84.35677
405,LARCENY-FROM VEHICLE,103010681,10/28/2010,111 CONE ST NW,508,Downtown,M,33.75798,-84.38969
406,AUTO THEFT,103010714,10/28/2010,1079 MARIETTA BLVD NW,106,Knight Park/Howell Station,K,33.7839,-84.4285
407,LARCENY-NON VEHICLE,103010796,10/28/2010,2001 SYLVAN RD,306,Sylvan Hills,X,33.69981,-84.4184
408,BURGLARY-RESIDENCE,103010809,10/28/2010,4407 PEACHTREE PARK DR NE,207,,E,33.81384,-84.38967
409,LARCENY-NON VEHICLE,103010818,10/28/2010,50 MOUNT ZION RD SE,312,Glenrose Heights,Z,33.67286,-84.38706
410,LARCENY-FROM VEHICLE,103010854,10/28/2010,402 TARRAGON WAY SW,407,Wilson Mill Meadows,H,33.75158,-84.51648
411,LARCENY-FROM VEHICLE,103010870,10/28/2010,902 EDWIN ST NW,110,Grove Park,J,33.77963,-84.44675
412,LARCENY-NON VEHICLE,103001207,10/27/2010,2621 DONALD LEE HOLLOWELL PKWY NW ; PIC N PAY,109,Center Hill,J,33.77617,-84.47272
413,AUTO THEFT,103001215,10/27/2010,590 CASCADE AVE SW,402,West End,T,33.73812,-84.43276
414,LARCENY-FROM VEHICLE,103001229,10/27/2010,1040 N HIGHLAND AVE NE,601,Virginia Highland,F,33.78287,-84.35477
415,BURGLARY-NONRES,103001249,10/27/2010,506 MCWILLIAMS RD SE,310,Lakewood,Z,33.6894,-84.3722
416,BURGLARY-RESIDENCE,103001269,10/27/2010,1001 SMITH ST SW,302,Pittsburgh,V,33.72742,-84.401
417,AGG ASSAULT,103001271,10/27/2010,945 HARWELL ST NW,105,Washington Park,K,33.75576,-84.41853
418,BURGLARY-NONRES,103001280,10/27/2010,2866 FORREST HILLS DR SW,311,Hammond Park,X,33.67725,-84.39889
419,AGG ASSAULT,103001321,10/27/2010,3000 CONTINENTAL COLONY PKWY SW,411,Greenbriar,R,33.68077,-84.4937
420,LARCENY-NON VEHICLE,103001370,10/27/2010,3393 PEACHTREE RD NE,210,Lenox,B,33.84676,-84.36212
421,BURGLARY-RESIDENCE,103001378,10/27/2010,532 CLEVELAND AVE SW,311,Hammond Park,X,33.68116,-84.4059
422,LARCENY-FROM VEHICLE,103001385,10/27/2010,105 HOWELL ST NE,604,Old Fourth Ward,M,33.75734,-84.36976
423,BURGLARY-RESIDENCE,103001397,10/27/2010,85 MOUNT ZION RD SW,312,Glenrose Heights,Z,33.67291,-84.39153
424,BURGLARY-RESIDENCE,103001412,10/27/2010,3298 TIARA CIR SW,409,Southwest,R,33.7016,-84.49547
425,AGG ASSAULT,103001413,10/27/2010,1572 HARDEE ST NE,609,Edgewood,O,33.75651,-84.33419
426,BURGLARY-RESIDENCE,103001420,10/27/2010,3099 PANTHER TRL SW,409,Southwest,R,33.69931,-84.48914
427,BURGLARY-RESIDENCE,103001430,10/27/2010,2572 LENOX RD NE,210,Pine Hills,B,33.82467,-84.35248
428,BURGLARY-RESIDENCE,103001469,10/27/2010,1092 OSBORNE ST SW,306,Sylvan Hills,X,33.70415,-84.42436
429,LARCENY-FROM VEHICLE,103001480,10/27/2010,250 ARIZONA AVE NE,609,Edgewood,O,33.76095,-84.33124
430,LARCENY-NON VEHICLE,103001512,10/27/2010,868 OAK ST SW,401,West End,T,33.74057,-84.41702
